fname,time_sec,dominant_color
s01e04_best_friend_44.jpg,215,#ada3d3
s01e04_best_friend_45.jpg,220,#ada3d4
s01e04_best_friend_46.jpg,225,#d1a9d4
s01e04_best_friend_47.jpg,230,#c898df
s01e04_best_friend_48.jpg,235,#bea7c6
s01e04_best_friend_49.jpg,240,#8caad1
s01e04_best_friend_50.jpg,245,#94abd7
s01e04_best_friend_51.jpg,250,#94abd7
s01e04_best_friend_52.jpg,255,#a8acd3
s01e04_best_friend_53.jpg,260,#89add5
s01e04_best_friend_54.jpg,265,#ced4e3
s01e04_best_friend_55.jpg,270,#c4bbed
s01e04_best_friend_56.jpg,275,#c7bed2
s01e04_best_friend_57.jpg,280,#c5bed1
s01e04_best_friend_58.jpg,285,#6394d3
s01e04_best_friend_59.jpg,290,#6394d3
s01e04_best_friend_60.jpg,295,#6494d3
s01e04_best_friend_61.jpg,300,#6494d4
s01e04_best_friend_62.jpg,305,#040404
s01e05_hide_and_seek_1.jpg,0,#84b4f2
s01e05_hide_and_seek_2.jpg,5,#84b3f0
s01e05_hide_and_seek_3.jpg,10,#81b0ef
s01e05_hide_and_seek_4.jpg,15,#84b4f2
s01e05_hide_and_seek_5.jpg,20,#dfe89b
s01e05_hide_and_seek_6.jpg,25,#95cb66
s01e05_hide_and_seek_7.jpg,30,#96cc63
s01e05_hide_and_seek_8.jpg,35,#96cc63
s01e05_hide_and_seek_9.jpg,40,#d2cd86
s01e05_hide_and_seek_10.jpg,45,#bddd6d
s01e05_hide_and_seek_11.jpg,50,#debd78
s01e05_hide_and_seek_12.jpg,55,#dfbd74
s01e05_hide_and_seek_13.jpg,60,#cbcb69
s01e05_hide_and_seek_14.jpg,65,#c5cf69
s01e05_hide_and_seek_15.jpg,70,#c5d069
s01e05_hide_and_seek_16.jpg,75,#b7d167
s01e05_hide_and_seek_17.jpg,80,#e6d76c
s01e05_hide_and_seek_18.jpg,85,#aaace9
s01e05_hide_and_seek_19.jpg,90,#b7cd67
s01e05_hide_and_seek_20.jpg,95,#bbce76
s01e05_hide_and_seek_21.jpg,100,#cfd4a0
s01e05_hide_and_seek_22.jpg,105,#c2d46a
s01e05_hide_and_seek_23.jpg,110,#c2d36a
s01e05_hide_and_seek_24.jpg,115,#c2db78
s01e05_hide_and_seek_25.jpg,120,#9fa8f2
s01e05_hide_and_seek_26.jpg,125,#a4adf0
s01e05_hide_and_seek_27.jpg,130,#a2a5ea
s01e05_hide_and_seek_28.jpg,135,#9eaaf0
s01e05_hide_and_seek_29.jpg,140,#9eaaf0
s01e05_hide_and_seek_30.jpg,145,#9eabef
s01e05_hide_and_seek_31.jpg,150,#9ea7f0
s01e05_hide_and_seek_32.jpg,155,#9da7ef
s01e05_hide_and_seek_33.jpg,160,#e8ce67
s01e05_hide_and_seek_34.jpg,165,#b6d66a
s01e05_hide_and_seek_35.jpg,170,#ccce88
s01e05_hide_and_seek_36.jpg,175,#94bf89
s01e05_hide_and_seek_37.jpg,180,#cfc88b
s01e05_hide_and_seek_38.jpg,185,#bcdc6d
s01e05_hide_and_seek_39.jpg,190,#9cc66f
s01e05_hide_and_seek_40.jpg,195,#b7cf73
s01e05_hide_and_seek_41.jpg,200,#dfbd73
s01e05_hide_and_seek_42.jpg,205,#c7d169
s01e05_hide_and_seek_43.jpg,210,#94c18b
s01e05_hide_and_seek_44.jpg,215,#c3d46a
s01e05_hide_and_seek_45.jpg,220,#e5d76a
s01e05_hide_and_seek_46.jpg,225,#9ea6e3
s01e05_hide_and_seek_47.jpg,230,#e8d669
s01e05_hide_and_seek_48.jpg,235,#bad171
s01e05_hide_and_seek_49.jpg,240,#bad172
s01e05_hide_and_seek_50.jpg,245,#b0c67b
s01e05_hide_and_seek_51.jpg,250,#aec77b
s01e05_hide_and_seek_52.jpg,255,#aec67a
s01e05_hide_and_seek_53.jpg,260,#aec67a
s01e05_hide_and_seek_54.jpg,265,#b3cf6e
s01e05_hide_and_seek_55.jpg,270,#b3cf6f
s01e05_hide_and_seek_56.jpg,275,#b3cf6e
s01e05_hide_and_seek_57.jpg,280,#b87add
s01e05_hide_and_seek_58.jpg,285,#6394d3
s01e05_hide_and_seek_59.jpg,290,#6294d3
s01e05_hide_and_seek_60.jpg,295,#6294d3
s01e05_hide_and_seek_61.jpg,300,#6494d5
s01e05_hide_and_seek_62.jpg,305,#040404
s01e06_the_playgroup_1.jpg,0,#84b4f2
s01e06_the_playgroup_2.jpg,5,#84b3f0
s01e06_the_playgroup_3.jpg,10,#81b0ef
s01e06_the_playgroup_4.jpg,15,#72bb6e
s01e06_the_playgroup_5.jpg,20,#72b677
s01e06_the_playgroup_6.jpg,25,#74be67
s01e06_the_playgroup_7.jpg,30,#c8abd1
s01e06_the_playgroup_8.jpg,35,#81b6cd
s01e06_the_playgroup_9.jpg,40,#7eb2c6
s01e06_the_playgroup_10.jpg,45,#efa6cf
s01e06_the_playgroup_11.jpg,50,#7bb68f
s01e06_the_playgroup_12.jpg,55,#71b575
s01e06_the_playgroup_13.jpg,60,#84b4f1
s01e06_the_playgroup_14.jpg,65,#79bc63
s01e06_the_playgroup_15.jpg,70,#82b3eb
s01e06_the_playgroup_16.jpg,75,#83b2ee
s01e06_the_playgroup_17.jpg,80,#83b3ec
s01e06_the_playgroup_18.jpg,85,#74c266
s01e06_the_playgroup_19.jpg,90,#9399d9
s01e06_the_playgroup_20.jpg,95,#959ade
s01e06_the_playgroup_21.jpg,100,#9294d3
s01e06_the_playgroup_22.jpg,105,#ac89ca
s01e06_the_playgroup_23.jpg,110,#bd91ca
s01e06_the_playgroup_24.jpg,115,#ad81cd
s01e06_the_playgroup_25.jpg,120,#b271ce
s01e06_the_playgroup_26.jpg,125,#a980c1
s01e06_the_playgroup_27.jpg,130,#b19fd4
s01e06_the_playgroup_28.jpg,135,#b09ed4
s01e06_the_playgroup_29.jpg,140,#8d96b6
s01e06_the_playgroup_30.jpg,145,#86c166
s01e06_the_playgroup_31.jpg,150,#968ad1
s01e06_the_playgroup_32.jpg,155,#c99cda
s01e06_the_playgroup_33.jpg,160,#79b594
s01e06_the_playgroup_34.jpg,165,#79b495
s01e06_the_playgroup_35.jpg,170,#aa7cd5
s01e06_the_playgroup_36.jpg,175,#78b49a
s01e06_the_playgroup_37.jpg,180,#79a6a9
s01e06_the_playgroup_38.jpg,185,#d0aed7
s01e06_the_playgroup_39.jpg,190,#70b09f
s01e06_the_playgroup_40.jpg,195,#78b39a
s01e06_the_playgroup_41.jpg,200,#71afa5
s01e06_the_playgroup_42.jpg,205,#7baea0
s01e06_the_playgroup_43.jpg,210,#918bd3
s01e06_the_playgroup_44.jpg,215,#f29cc3
s01e06_the_playgroup_45.jpg,220,#eeabd0
s01e06_the_playgroup_46.jpg,225,#76b563
s01e06_the_playgroup_47.jpg,230,#919dd5
s01e06_the_playgroup_48.jpg,235,#97a9e8
s01e06_the_playgroup_49.jpg,240,#9c92df
s01e06_the_playgroup_50.jpg,245,#ae8dcb
s01e06_the_playgroup_51.jpg,250,#a68fce
s01e06_the_playgroup_52.jpg,255,#80afa9
s01e06_the_playgroup_53.jpg,260,#d29ecd
s01e06_the_playgroup_54.jpg,265,#80afa8
s01e06_the_playgroup_55.jpg,270,#ad90ac
s01e06_the_playgroup_56.jpg,275,#c9bfb8
s01e06_the_playgroup_57.jpg,280,#a78dca
s01e06_the_playgroup_58.jpg,285,#6494d3
s01e06_the_playgroup_59.jpg,290,#6294d3
s01e06_the_playgroup_60.jpg,295,#6494d3
s01e06_the_playgroup_61.jpg,300,#6494d5
s01e06_the_playgroup_62.jpg,305,#040404
s01e07_mummy_pig_at_work_1.jpg,0,#84b4f2
s01e07_mummy_pig_at_work_2.jpg,5,#84b3f0
s01e07_mummy_pig_at_work_3.jpg,10,#81b0ef
s01e07_mummy_pig_at_work_4.jpg,15,#84b4f1
s01e07_mummy_pig_at_work_5.jpg,20,#eaeaa3
s01e07_mummy_pig_at_work_6.jpg,25,#bb7bd1
s01e07_mummy_pig_at_work_7.jpg,30,#ba87d5
s01e07_mummy_pig_at_work_8.jpg,35,#77bec1
s01e07_mummy_pig_at_work_9.jpg,40,#dfd2cb
s01e07_mummy_pig_at_work_10.jpg,45,#e3d4cd
s01e07_mummy_pig_at_work_11.jpg,50,#c5d5d9
s01e07_mummy_pig_at_work_12.jpg,55,#c98bd8
s01e07_mummy_pig_at_work_13.jpg,60,#c189d6
s01e07_mummy_pig_at_work_14.jpg,65,#c28ad7
s01e07_mummy_pig_at_work_15.jpg,70,#bc93cf
s01e07_mummy_pig_at_work_16.jpg,75,#eeb3ca
s01e07_mummy_pig_at_work_17.jpg,80,#d88edf
s01e07_mummy_pig_at_work_18.jpg,85,#bd93d0
s01e07_mummy_pig_at_work_19.jpg,90,#ba93d0
s01e07_mummy_pig_at_work_20.jpg,95,#e6a3d1
s01e07_mummy_pig_at_work_21.jpg,100,#be8dd3
s01e07_mummy_pig_at_work_22.jpg,105,#bd8cd3
s01e07_mummy_pig_at_work_23.jpg,110,#c18dd3
s01e07_mummy_pig_at_work_24.jpg,115,#7fc1c9
s01e07_mummy_pig_at_work_25.jpg,120,#ba8fce
s01e07_mummy_pig_at_work_26.jpg,125,#ce88e2
s01e07_mummy_pig_at_work_27.jpg,130,#e29ed3
s01e07_mummy_pig_at_work_28.jpg,135,#ba95ce
s01e07_mummy_pig_at_work_29.jpg,140,#b98ed1
s01e07_mummy_pig_at_work_30.jpg,145,#ba8ed2
s01e07_mummy_pig_at_work_31.jpg,150,#db91dd
s01e07_mummy_pig_at_work_32.jpg,155,#b593cd
s01e07_mummy_pig_at_work_33.jpg,160,#b591d0
s01e07_mummy_pig_at_work_34.jpg,165,#c58bdb
s01e07_mummy_pig_at_work_35.jpg,170,#d490dc
s01e07_mummy_pig_at_work_36.jpg,175,#b98dd2
s01e07_mummy_pig_at_work_37.jpg,180,#da95d1
s01e07_mummy_pig_at_work_38.jpg,185,#d597d8
s01e07_mummy_pig_at_work_39.jpg,190,#ae75c4
s01e07_mummy_pig_at_work_40.jpg,195,#c493cd
s01e07_mummy_pig_at_work_41.jpg,200,#d8e7ba
s01e07_mummy_pig_at_work_42.jpg,205,#b998ce
s01e07_mummy_pig_at_work_43.jpg,210,#d7e6b8
s01e07_mummy_pig_at_work_44.jpg,215,#bc98cf
s01e07_mummy_pig_at_work_45.jpg,220,#d8e7b8
s01e07_mummy_pig_at_work_46.jpg,225,#1ca0f2
s01e07_mummy_pig_at_work_47.jpg,230,#bb9ace
s01e07_mummy_pig_at_work_48.jpg,235,#1ca0f2
s01e07_mummy_pig_at_work_49.jpg,240,#dbe9b7
s01e07_mummy_pig_at_work_50.jpg,245,#83bcd1
s01e07_mummy_pig_at_work_51.jpg,250,#b993cf
s01e07_mummy_pig_at_work_52.jpg,255,#dde9b6
s01e07_mummy_pig_at_work_53.jpg,260,#d99cd9
s01e07_mummy_pig_at_work_54.jpg,265,#d994e1
s01e07_mummy_pig_at_work_55.jpg,270,#c18dd7
s01e07_mummy_pig_at_work_56.jpg,275,#dbe9b8
s01e07_mummy_pig_at_work_57.jpg,280,#c08dd6
s01e07_mummy_pig_at_work_58.jpg,285,#6394d3
s01e07_mummy_pig_at_work_59.jpg,290,#6294d3
s01e07_mummy_pig_at_work_60.jpg,295,#6494d3
s01e07_mummy_pig_at_work_61.jpg,300,#6494d4
s01e07_mummy_pig_at_work_62.jpg,305,#040404
s01e08_camping_1.jpg,0,#84b4f2
s01e08_camping_2.jpg,5,#84b3f0
s01e08_camping_3.jpg,10,#81b0ef
s01e08_camping_4.jpg,15,#6db570
s01e08_camping_5.jpg,20,#77c16c
s01e08_camping_6.jpg,25,#83b2ec
s01e08_camping_7.jpg,30,#7cb6b6
s01e08_camping_8.jpg,35,#7db6bd
s01e08_camping_9.jpg,40,#80b2e4
s01e08_camping_10.jpg,45,#82b4e1
s01e08_camping_11.jpg,50,#84b3f2
s01e08_camping_12.jpg,55,#7eb4d4
s01e08_camping_13.jpg,60,#83b3ec
s01e08_camping_14.jpg,65,#83b3ed
s01e08_camping_15.jpg,70,#83b3ec
s01e08_camping_16.jpg,75,#7eb3d7
s01e08_camping_17.jpg,80,#81b3eb
s01e08_camping_18.jpg,85,#7cb9b6
s01e08_camping_19.jpg,90,#7cb8b2
s01e08_camping_20.jpg,95,#6bb15e
s01e08_camping_21.jpg,100,#6bb165
s01e08_camping_22.jpg,105,#6fa8ac
s01e08_camping_23.jpg,110,#e096a2
s01e08_camping_24.jpg,115,#5e8896
s01e08_camping_25.jpg,120,#486a7e
s01e08_camping_26.jpg,125,#436678
s01e08_camping_27.jpg,130,#425e71
s01e08_camping_28.jpg,135,#3e4f63
s01e08_camping_29.jpg,140,#2d2643
s01e08_camping_30.jpg,145,#282643
s01e08_camping_31.jpg,150,#282643
s01e08_camping_32.jpg,155,#30312f
s01e08_camping_33.jpg,160,#ae8897
s01e08_camping_34.jpg,165,#c07d93
s01e08_camping_35.jpg,170,#c486aa
s01e08_camping_36.jpg,175,#292140
s01e08_camping_37.jpg,180,#241d38
s01e08_camping_38.jpg,185,#201d38
s01e08_camping_39.jpg,190,#27213b
s01e08_camping_40.jpg,195,#28223b
s01e08_camping_41.jpg,200,#5d9e63
s01e08_camping_42.jpg,205,#27213b
s01e08_camping_43.jpg,210,#27213b
s01e08_camping_44.jpg,215,#241e39
s01e08_camping_45.jpg,220,#211d36
s01e08_camping_46.jpg,225,#211d36
s01e08_camping_47.jpg,230,#25203c
s01e08_camping_48.jpg,235,#85b9ea
s01e08_camping_49.jpg,240,#84b4f0
s01e08_camping_50.jpg,245,#84b4f0
s01e08_camping_51.jpg,250,#84b3f0
s01e08_camping_52.jpg,255,#83b2f0
s01e08_camping_53.jpg,260,#83b0ed
s01e08_camping_54.jpg,265,#83afec
s01e08_camping_55.jpg,270,#83b0ec
s01e08_camping_56.jpg,275,#84b4f1
s01e08_camping_57.jpg,280,#83b3ef
s01e08_camping_58.jpg,285,#6194d3
s01e08_camping_59.jpg,290,#6294d3
s01e08_camping_60.jpg,295,#6494d3
s01e08_camping_61.jpg,300,#6394d3
s01e08_camping_62.jpg,305,#040404
s01e09_gardening_1.jpg,0,#84bbf2
s01e09_gardening_2.jpg,5,#84baf1
s01e09_gardening_3.jpg,10,#7db4ec
s01e09_gardening_4.jpg,15,#84bbf1
s01e09_gardening_5.jpg,20,#85bbf0
s01e09_gardening_6.jpg,25,#87baeb
s01e09_gardening_7.jpg,30,#82b3ea
s01e09_gardening_8.jpg,35,#82b3ea
s01e09_gardening_9.jpg,40,#7ca2c6
s01e09_gardening_10.jpg,45,#81aee6
s01e09_gardening_11.jpg,50,#7faad7
s01e09_gardening_12.jpg,55,#84c0e9
s01e09_gardening_13.jpg,60,#ab834c
